Title,Genre,Platform,Original Platform,Year,Played,Description,Publisher,Developer
Aberoth,,,,,,,,
Age of Empires 2,,,,,,,,
Age of Empires 3,,,,,,,,
Age of Mythology,,,,,,,,
Aion,,,,,,,,
All is Dust,,,,,,,,
Ark Survival Evolved,,,,,,,,
Audiosurf 2,,,,,,,,
Batman Arkham Origins,,,,,,,,
Bioshock Infinite,,,,,,,,
Blockade 3D,,,,,,,,
The Cat and the Coup,,,,,,,,
Clicker Heroes,,,,,,,,
Gang Wars,,,,,,,,
Crysis,,,,,,,,
Crysis 3,,,,,,,,
Defiance,,,,,,,,
Depth,,,,,,,,
Deus Ex Human Revolution,,,,,,,,
Dirty Bomb,,,,,,,,
Dota 2,,,,,,,,
Double Action,,,,,,,,
Echo of Soul,,,,,,,,
Elder Scrolls 3 Morrowind,,,,,,,,
Elder Scrolls 4 Oblivion,,,,,,,,
Elder Scrolls 5 Skyrim,,,,,,,,
Electric Highways,,,,,,,,
Empire Total War,,,,,,,,
Endless Sky,,,,,,,,
Endless Space,,,,,,,,
Expendabros,,,,,,,,
Fallout,,,,,,,,
Fallout 2,,,,,,,,
Fallout 4,,,,,,,,
Fallout Tactics,,,,,,,,
Far Cry 3,,,,,,,,
Final Fantasy 7,,,,,,,,
Fistful of Frags,,,,,,,,
Forsaken Uprising,,,,,,,,
Garry's Mod,,,,,,,,
Gotham City Imposters,,,,,,,,
Grand Theft Auto 4,,,,,,,,
Grand Theft Auto 4 Episodes From Liberty City,,,,,,,,
Grand Theft Auto Vice City,,,,,,,,
Half Life,,,,,,,,
Hawken,,,,,,,,
Hitman,,,,,,,,
Hitman 2,,,,,,,,
Hitman Contracts,,,,,,,,
Hitman Blood Money,,,,,,,,
Hitman Absolution,,,,,,,,
Hitman Sniper Challenge,,,,,,,,
Just Cause 2,,,,,,,,
Knight Online,,,,,,,,
Lord of the Rings Online,,,,,,,,
Marvel Heroes 2016,,,,,,,,
Mass Effect,,,,,,,,
Mass Effect 2,,,,,,,,
Minecraft,,,,,,,,
Mount and Blade,,,,,,,,
Myst,,,,,,,,
Neverwinter Underdark,,,,,,,,
Nosgoth,,,,,,,,
Path of Exile The Awakening,,,,,,,,
Pink Hour,,,,,,,,
Plague Inc,,,,,,,,
Planetside 2,,,,,,,,
Portal,,,,,,,,
Portal 2,,,,,,,,
Realm of the Mad God,,,,,,,,
Resident Evil Revelations 2,,,,,,,,
Rise of Nations,,,,,,,,
Roller Coaster Tycoon 3,,,,,,,,
Saints Row 4,,,,,,,,
The Secret of the Tremendous Corporation,,,,,,,,
Civilization 3,,,,,,,,
Civilization 4,,,,,,,,
Civilization 5,,,,,,,,
Civilization Beyond Earth,,,,,,,,
The Sims 3,,,,,,,,
Snow,,,,,,,,
Soccer Manager 2016,,,,,,,,
Spec Ops The Line,,,,,,,,
Spore,,,,,,,,
Starwars Battlefront 2,,,,,,,,
Starwars Empire at War,,,,,,,,
Starwars Knights of the Old Republic,,,,,,,,
Starwars Knights of the Old Republic 2,,,,,,,,
State of Decay,,,,,,,,
Subspce Continuum,,,,,,,,
Super Crate Box,,,,,,,,
Supreme Commander Forged Alliance,,,,,,,,
System Shock 2,,,,,,,,
Team Fortress 2,,,,,,,,
Tera Knockout,,,,,,,,
the Hunter,,,,,,,,
This War of Mine,,,,,,,,
Tomb Raider,,,,,,,,
Tropico 4,,,,,,,,
Ubergame,,,,,,,,
Uncharted Waters,,,,,,,,
Unturned,,,,,,,,
War Thunder,,,,,,,,
Warframe,,,,,,,,
The Witcher,,,,,,,,
The Wither 3 Wild Hunt,,,,,,,,
World of Guns,,,,,,,,
XCOM,,,,,,,,
1080 Snowboarding,,,,,,,,
Army Men Sarges Heroes 2,,,,,,,,
Crusin USA,,,,,,,,
Donkey Kong 64,,,,,,,,
Diddy Kong Racing,,,,,,,,
F-Zero X,,,,,,,,
Gauntlet Legends,,,,,,,,
Goldeneye 007,,,,,,,,
The Legend of Zelda Majora's Mask,,,,,,,,
The Legend of Zelda Ocarina of Time,,,,,,,,
Lego Racers,,,,,,,,
Madden 99,,,,,,,,
Madden 2001,,,,,,,,
Monopoly,,,,,,,,
Major League Baseball Featuring Ken Griffey Junior,,,,,,,,
Nba Courtside,,,,,,,,
Nba Live 99,,,,,,,,
Nfl Blitz 2001,,,,,,,,
Nhl Breakaway 98,,,,,,,,
Paper Mario,,,,,,,,
Perfect Dark,,,,,,,,
Pokemon Snap,,,,,,,,
Pokemon Stadium,,,,,,,,
Rampage World Tour,,,,,,,,
Starfox 64,,,,,,,,
Starwars Episode 1 Racer,,,,,,,,
Starwars Shadows of the Empire,,,,,,,,
Super Smash Brothers,,,,,,,,
Tony Hawk's Pro Skater 1,,,,,,,,
Tony Hawk's Pro Skater 2,,,,,,,,
Turok Dinosaur Hunter,,,,,,,,
Wave Race,,,,,,,,
WCW Vs NWO World Tour,,,,,,,,
Assassin's Creed,,,,,,,,
Assassin's Creed 2,,,,,,,,
Assassin's Creed 3,,,,,,,,
Bioshock,,,,,,,,
Bioshock Infinite,,,,,,,,
Brutal Legend,,,,,,,,
Call of Duty 2,,,,,,,,
Call of Duty 4 Modern Warfare,,,,,,,,
Call of Duty Modern Warfare 2,,,,,,,,
Crackdown,,,,,,,,
Darksiders 2,,,,,,,,
Dead Island,,,,,,,,
Dead Space,,,,,,,,
Diablo 3,,,,,,,,
Dragon Age Origins,,,,,,,,
Fable 2,,,,,,,,
Fallout 3,,,,,,,,
Fallout New Vegas,,,,,,,,
Forza Motorsport 4,,,,,,,,
Grand Theft Auto San Andreas,,,,,,,,
Grand Theft Auto 4,,,,,,,,
Grand Theft Auto 4 Episodes From Liberty City,,,,,,,,
Grand Theft Auto 5,,,,,,,,
Guitar Hero 2,,,,,,,,
Guitar Hero Aerosmith,,,,,,,,
Halo 3,,,,,,,,
Halo 4,,,,,,,,
Mass Effect,,,,,,,,
Marvel Ultimate Alliance, ,,,,,,,
Major League Baseball 2k12,,,,,,,,
Nba 2k13,,,,,,,,
Nba 2k15,,,,,,,,
Nba 2k16,,,,,,,,
Ncaa Football 2008,,,,,,,,
Nhl 13,,,,,,,,
Rage,,,,,,,,
Rainbow 6 Vegas 2,,,,,,,,
Remember Me,,,,,,,,
Skate,,,,,,,,
South Park The Stick of Truth,,,,,,,,
Tony Hawk's Project 8,,,,,,,,
Army of 2 The Devil's Cartel,,,,,,,,
Assassin's Creed 4,,,,,,,,
Batman Arkham City,,,,,,,,
Battleblock Theater,,,,,,,,
Battlefield Bad Company 2,,,,,,,,
Battlestations Pacific,,,,,,,,
Borderlands 2,,,,,,,,
Brothers,,,,,,,,
Bully,,,,,,,,
Burnout Paradise,,,,,,,,
Castlestorm, ,,,,,,,
Charlie Murder,,,,,,,,
Dark Souls,,,,,,,,
Dirt 3,,,,,,,,
Dishonored,,,,,,,,
Dungeon Siege 3,,,,,,,,
Fez,,,,,,,,
Fight Night Champion,,,,,,,,
Gears of War 3,,,,,,,,
Gears of War <look it up>,,,,,,,,
Geometry Wars 2,,,,,,,,
Halo Reach,,,,,,,,
Hexic,,,,,,,,
LA Noire,,,,,,,,
Left 4 Dead,,,,,,,,
Mafia 2,,,,,,,,
Max Payne 3,,,,,,,,
Metro 2033,,,,,,,,
Midnight Club LA,,,,,,,,
Mirror's Edge,,,,,,,,
Monaco,,,,,,,,
Motocross Madness,,,,,,,,
MX Vs ATV,,,,,,,,
Need for Speed Hot Pursuit,,,,,,,,
Elder Scrolls 4 Oblivion,,,,,,,,
Plants vs Zombie,,,,,,,,
Psychonauts,,,,,,,,
Red Dead Redemption,,,,,,,,
Red Faction Guerilla,,,,,,,,
Resident Evil 4,,,,,,,,
Rock of Ages,,,,,,,,
Table Tennis,,,,,,,,
Sacred 3,,,,,,,,
Sacred Citadel,,,,,,,,
Sniper Elite V2,,,,,,,,
Soul Calibur 5,,,,,,,,
SSX,,,,,,,,
Super Street Fighter 4 Arcade Edition,,,,,,,,
Terraria,,,,,,,,
The Impossible Game,,,,,,,,
The Witcher 2 Assassins of Kings,,,,,,,,
World of Tanks,,,,,,,,
Thief,,,,,,,,
Virtua Fighter 5,,,,,,,,
Dragon Age Inquisition,,,,,,,,
Far Cry 4,,,,,,,,
Ark Survival Evolved ,,,,,,,,
Alex Kidd in the Enchanted Castle,,,,,,,,
Alien Storm,,,,,,,,
Altered Beast,,,,,,,,
Beyond Oasis/The Story of Thor,,,,,,,,
Bonanza Bros.,,,,,,,,
Columns,,,,,,,,
Comix Zone,,,,,,,,
Decap Attack,,,,,,,,
Dr. Robotnik's Mean Bean Machine,,,,,,,,
Dynamite Headdy,,,,,,,,
Ecco the Dolphin,,,,,,,,
Ecco: The Tides of Time,,,,,,,,
ESWAT: City Under Siege,,,,,,,,
Fatal Labyrinth,,,,,,,,
Flicky,,,,,,,,
Gain Ground,,,,,,,,
Golden Axe,,,,,,,,
Golden Axe II,,,,,,,,
Golden Axe III,,,,,,,,
Kid Chameleon,,,,,,,,
Phantasy Star II,,,,,,,,
Phantasy Star III: Generations of Doom,,,,,,,,
Phantasy Star IV: The End of the Millennium,,,,,,,,
Ristar,,,,,,,,
Shining Force: The Legacy of Great Intention,,,,,,,,
Shining Force II: The Ancient Seal,,,,,,,,
Shining in the Darkness,,,,,,,,
Shinobi III: Return of the Ninja Master,,,,,,,,
Sonic & Knuckles,,,,,,,,
Sonic the Hedgehog,,,,,,,,
Sonic the Hedgehog 2,,,,,,,,
Sonic the Hedgehog 3,,,,,,,,
Sonic 3D Flickies Island/Blast,,,,,,,,
Sonic Spinball,,,,,,,,
Streets of Rage,,,,,,,,
Streets of Rage 2,,,,,,,,
Streets of Rage 3,,,,,,,,
Super Thunder Blade,,,,,,,,
Vectorman,,,,,,,,
Vectorman 2,,,,,,,,
Half Life 2,,,,,,,,
Half Life 2 Episode 1,,,,,,,,
Half Life 2 Episode 2,,,,,,,,
Portal,,,,,,,,
Team Fortress 2,,,,,,,,
Jetpac,,,,,,,,
Atic Atac,,,,,,,,
Lunar Jetman,,,,,,,,
Sabre Wulf,,,,,,,,
Underwurlde,,,,,,,,
Knight Lore,,,,,,,,
Gunfright,,,,,,,,
Slalom,,,,,,,,
R.C. Pro-Am,,,,,,,,
Battletoads (NES),,,,,,,,
Cobra Triangle,,,,,,,,
Snake Rattle N Roll,,,,,,,,
Digger T. Rock,,,,,,,,
Solar Jetman,,,,,,,,
R.C. Pro-Am II,,,,,,,,
Battletoads Arcade,,,,,,,,
Killer Instinct Gold,,,,,,,,
Blast Corps,,,,,,,,
Banjo-Kazooie,,,,,,,,
Jet Force Gemini,,,,,,,,
Perfect Dark,,,,,,,,
Banjo-Tooie,,,,,,,,
Conker’s Bad Fur Day,,,,,,,,
Grabbed by the Ghoulies,,,,,,,,
Perfect Dark Zero,,,,,,,,
Kameo: Elements of Power,,,,,,,,
Viva Piñata,,,,,,,,
Jetpac Refuelled,,,,,,,,
Banjo-Kazooie: Nuts & Bolts,,,,,,,,
Viva Piñata: Trouble in Paradise,,,,,,,,